0.026478 (0.011744) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.605277 (0.012456) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.125035 (0.019656) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.046366 (0.020178) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.598946 (0.009645) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.102072 (0.008098) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.024716 (0.015052) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.553051 (0.075522) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.112134 (0.014607) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.033436 (0.011919) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.586395 (0.032214) with: {'batch_size': 32, 'model__activation': 'sigmoid', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adam'}
-0.623257 (1.741642) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.266304 (0.074546) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.755249 (0.014631) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 100, 'model__optimizer': 'Adam'}
-0.594213 (1.694996) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.232917 (0.056514) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.762007 (0.022432) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 200, 'model__optimizer': 'Adam'}
-1.830288 (1.709496) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'SGD'}
-0.833413 (1.593112) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
0.773137 (0.010186) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 100, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.622027 (0.033506) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'SGD'}
-0.762854 (1.575905) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
0.768998 (0.014662) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 100, 'model__optimizer': 'Adam'}
-0.556110 (1.500088) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'SGD'}
0.384309 (0.035892) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
-0.488192 (1.769981) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.638195 (0.026704) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'SGD'}
0.093449 (0.288583) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
-0.367235 (1.628103) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 200, 'model__num2': 400, 'model__optimizer': 'Adam'}
0.641554 (0.015335) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'SGD'}
0.414172 (0.011372) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adagrad'}
-0.381209 (1.618208) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 100, 'model__optimizer': 'Adam'}
0.637032 (0.027373) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'SGD'}
-0.777796 (1.565177) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adagrad'}
0.779427 (0.020549) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 200, 'model__optimizer': 'Adam'}
0.647079 (0.004557) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'SGD'}
-0.608097 (1.457964) with: {'batch_size': 50, 'model__activation': 'relu', 'model__num1': 400, 'model__num2': 400, 'model__optimizer': 'Adagrad'}
